census_tract,pop_total,pop_hl,pop_white_non_hl,prop_hl,prop_white_non_hl,median_income
34003049002,5437,317,3958,0.058304211881552326,0.7279749862056281,155525
34003050000,5805,1527,3142,0.26304909560723516,0.5412575366063738,101689
34003051100,6305,1029,4435,0.16320380650277558,0.7034099920697859,113125
34003051200,2566,420,1821,0.1636788776305534,0.7096648480124708,148438
34003051300,4867,1130,2352,0.23217587836449557,0.4832545716046846,93859
34003051400,5043,1269,2374,0.25163593099345627,0.4707515367836605,151111
34003052100,7461,2071,4909,0.2775767323415092,0.6579546977616941,114292
34003052200,6852,1189,4538,0.17352597781669585,0.662288382953882,113039
34003053100,3362,186,2518,0.055324211778703156,0.7489589530041642,250
34003053201,4743,276,3581,0.058191018342821,0.7550073792958043,221205
34003053202,3609,341,2488,0.09448600720421169,0.6893876420060959,189688
34003054101,4532,1121,118,0.2473521624007061,0.026037069726390114,117464
34003054102,3407,197,1516,0.057822130906956266,0.4449662459641914,126977
34003054200,5360,1907,1219,0.35578358208955224,0.22742537313432837,87440
34003054300,6925,245,6230,0.03537906137184116,0.8996389891696751,232891
34003054400,7741,2836,2522,0.3663609352796796,0.3257977005554838,102122
34003054500,4699,666,2733,0.14173228346456693,0.5816131091721642,135938
34003054601,3080,1322,846,0.4292207792207792,0.2746753246753247,99500
34003054602,5591,1853,1854,0.33142550527633696,0.3316043641566804,128509
34003055100,6724,151,4411,0.022456870910172518,0.6560083283759667,250
34003055201,4133,921,2144,0.22284055165739172,0.5187515122187273,184114
34003055202,4450,488,1855,0.10966292134831461,0.41685393258426967,151875
34003056100,5119,702,3994,0.13713615940613402,0.7802305137722212,137292
34003056200,4967,799,3493,0.1608616871350916,0.7032413931950876,119914
34003057101,4222,772,2593,0.18285172903837044,0.6141639033633349,75234
34003057102,3964,346,3383,0.08728557013118063,0.8534308779011099,87396
34003057200,3647,929,2606,0.254729914998629,0.7145599122566493,57629
34003058100,3709,520,2839,0.1401995146939876,0.7654354273389053,133304
34003058200,5584,442,4756,0.07915472779369627,0.8517191977077364,147941
34003059100,4934,533,3183,0.10802594244021078,0.6451155249290637,118529
34003059200,6333,1723,3989,0.2720669508921522,0.6298752565924522,138908
34003060001,3470,555,2431,0.15994236311239193,0.7005763688760807,107813
34003060002,6672,1354,3594,0.2029376498800959,0.5386690647482014,145181
34003061100,4816,234,4480,0.048588039867109634,0.9302325581395349,169219
